Public Vehicle Type,Public Vehicle Number,Company Name,Vehicle Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Wheelchair Accessible,Affiliation,License Management,Inspection Type,Scheduled Inspection Date and Time,Result,Current
Taxi,4332,TAXI MEDALLION GROUP LLC SERIESXXVI,ACTIVE,TOYOTA,PRIUS,2017,FALSE,Yellow Cab Association,Owner Manager,RETEST,2/3/2023 9:00,PASSED,FALSE
Taxi,3290,"SMP TRANS, INC",ACTIVE,TOYOTA,RAV4,2018,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,2/27/2023 11:00,FAILED,FALSE
Taxi,4428,WONDER CAB COMPANY,ACTIVE,TOYOTA,SIENNA,2023,FALSE,Checker Taxi Association Co.,Owner-Operator,CHANGE_EQUIPMENT,2/3/2023 9:00,FAILED,FALSE
Taxi,1290,DANIEL T. EGUALE,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Independent1,Owner-Operator,RETEST,2/3/2023 11:00,PASSED,FALSE
Taxi,6604,ESJOTA BUSINESS VENTURES INC,ACTIVE,TOYOTA,SIENNA,2014,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,12/14/2023 10:00,PENDING,TRUE
Taxi,4428,WONDER CAB COMPANY,ACTIVE,TOYOTA,SIENNA,2023,FALSE,Checker Taxi Association Co.,Owner-Operator,RETEST,2/3/2023 13:00,PASSED,FALSE
Taxi,822,"OWNER TRANSPORTATION, INC",ACTIVE,FORD,ESCAPE,2012,FALSE,Yellow Cab Association,Owner-Operator,RETEST,2/3/2023 13:00,FAILED,FALSE
Livery,8329,MOORE CONCIERGE SERVICE LLC,ACTIVE,AUDI,A8,2019,FALSE,,,RETEST,2/3/2023 12:00,FAILED,FALSE
Taxi,663,EHIME HOLDINGS INC,ACTIVE,TOYOTA,RAV4,2020,FALSE,Yellow Cab Association,Owner-Operator,RETEST,2/3/2023 9:00,PASSED,FALSE
Taxi,3769,CHARAFI TRANS INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Independent1,Owner-Operator,RETEST,2/3/2023 9:00,FAILED,FALSE
Taxi,5165,PORTO CAB INC.,ACTIVE,SCION,XB,2015,FALSE,Blue Diamond Taxi Affil Inc,Owner Manager,FIRST_PERIOD,2/3/2023 11:00,PASSED,FALSE
Taxi,4888,ZANAS INC,ACTIVE,TOYOTA,SIENNA,2022,TRUE,INDEPENDENT4,Owner Manager,CHANGE_EQUIPMENT,2/27/2023 10:00,PASSED,FALSE
Livery,9132,CONTINENTAL LIMO INC,ACTIVE,CHEVROLET,SUBURBAN,2016,FALSE,,,FIRST_PERIOD,2/3/2023 13:00,PASSED,FALSE
Taxi,1177,TAXI MEDALLION GROUPLLC SERIESXXII,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,2/3/2023 10:00,PASSED,FALSE
Taxi,4693,PAPPU TRANS INC.,ACTIVE,TOYOTA,CAMRY,2012,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,2/3/2023 11:00,FAILED,FALSE
Taxi,5053,OSKO CAB COMPANY,ACTIVE,TOYOTA,SIENNA,2019,TRUE,Flash Cab Co,Choice Taxi Association,FIRST_PERIOD,2/27/2023 13:00,FAILED,FALSE
Taxi,1622,"ALVA 1, INC.",ACTIVE,TOYOTA,CAMRY,2015,FALSE,City Service Taxi Association,Owner Manager,SECOND_PERIOD,8/30/2023 8:00,PENDING,TRUE
Livery,8999,ARJAN DAUTAJ,ACTIVE,LINCOLN,MKT,2013,FALSE,,,FIRST_PERIOD,2/27/2023 8:00,NO_SHOW,FALSE
Taxi,4844,RUKHSHI CAB CORP,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner Manager,FIRST_PERIOD,2/27/2023 10:00,PASSED,FALSE
Taxi,1625,NJ CAB CO,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",FIRST_PERIOD,2/27/2023 9:00,PASSED,FALSE
Taxi,3709,HASNAT SADDAT INC.,FORECLOSURE,TOYOTA,CAMRY,2015,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,9/28/2023 11:00,PENDING,TRUE
Taxi,1579,NJ CAB CO,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",RETEST,2/27/2023 11:00,PASSED,FALSE
Taxi,4052,MASKAB INC,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,FIRST_PERIOD,2/27/2023 13:00,PASSED,FALSE
Taxi,6245,KENDOSKI TAXI LLC,ACTIVE,TOYOTA,CAMRY,2018,FALSE,Independent1,Owner-Operator,RETEST,2/27/2023 11:00,PASSED,FALSE
Taxi,3894,COLOMBO CAB INCORPORATED,SURRENDER,NISSAN,ALTIMA,2015,FALSE,Blue Diamond Taxi Affil Inc,Owner-Operator,SECOND_PERIOD,10/6/2023 11:00,PENDING,TRUE
Taxi,5552,ZEEMAAN CORP.,ACTIVE,TOYOTA,CAMRY,2012,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,12/11/2023 9:00,PENDING,TRUE
Taxi,4757,ILHAM TRANS INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,City Service Taxi Association,Owner-Operator,RETEST,4/13/2023 11:00,PASSED,FALSE
Taxi,2390,JUHI INC,SURRENDER,TOYOTA,PRIUS,2013,FALSE,Flash Cab Co,Owner Manager,FIRST_PERIOD,5/23/2023 10:00,PENDING,TRUE
Taxi,5281,BAHAYLAY INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,INDEPENDENT4,Owner-Operator,FIRST_PERIOD,2/27/2023 8:00,PASSED,FALSE
Taxi,1649,GANDHI CAB CO,ACTIVE,TOYOTA,CAMRY,2017,FALSE,Independent1,Owner-Operator,CHANGE_EQUIPMENT,4/12/2023 10:00,NO_SHOW_RESCHEDULED,FALSE
Taxi,6761,SALMA & YOUSEF CAB INC.,ACTIVE,DODGE,GRAND CARAVAN,2015,TRUE,Flash Cab Co,Owner Manager,SECOND_PERIOD,11/22/2023 11:00,PENDING,TRUE
Taxi,5207,NECT 2 INC.,FORECLOSURE,DODGE,CARAVAN,2011,TRUE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,2/27/2023 8:00,NO_SHOW,FALSE
Taxi,6059,SYED A MOQEET,ACTIVE,TOYOTA,CAMRY,2018,FALSE,Globe Taxi Association Inc,Owner-Operator,FIRST_PERIOD,2/27/2023 11:00,FAILED,FALSE
Taxi,1035,NADJIB TRANS INC,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Sun Taxi Association Inc,Owner Manager,FIRST_PERIOD,2/27/2023 8:00,NO_SHOW,FALSE
Taxi,6510,FAVEN CORP.,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,4/13/2023 13:00,PASSED,FALSE
Taxi,2776,MALEY INC,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,9/12/2023 11:00,PENDING,TRUE
Ambulance,794918,TRACE AMBULANCE INC,ACTIVE,FORD,TRANSIT,2018,FALSE,,,FIRST_PERIOD,2/27/2023 8:00,PASSED,FALSE
Taxi,102,CHITOWN CAB INC. #IV,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",FIRST_PERIOD,2/3/2023 11:00,PASSED,FALSE
Taxi,6604,ESJOTA BUSINESS VENTURES INC,ACTIVE,TOYOTA,SIENNA,2014,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,6/14/2023 10:00,PENDING,TRUE
Taxi,6761,SALMA & YOUSEF CAB INC.,ACTIVE,DODGE,GRAND CARAVAN,2015,TRUE,Flash Cab Co,Owner Manager,FIRST_PERIOD,5/23/2023 11:00,PENDING,TRUE
Taxi,3294,"TAXI MEDALLION GROUP,LLC-SERIES XIX",ACTIVE,TOYOTA,PRIUS,2015,FALSE,Yellow Cab Association,Owner Manager,RETEST,2/27/2023 9:00,FAILED,FALSE
Taxi,3542,SADEGH HATAMI,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Independent1,Owner-Operator,RETEST,2/27/2023 8:00,PASSED,FALSE
Taxi,3424,"ALVA 1, INC.",ACTIVE,TOYOTA,CAMRY,2015,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,2/27/2023 8:00,PASSED,FALSE
Taxi,6410,W A TAXI INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,8/30/2023 10:00,PENDING,TRUE
Livery,9722,DANAYAL LIMOUSINE INC.,ACTIVE,LINCOLN,NAVIGATOR,2017,FALSE,,,FIRST_PERIOD,2/27/2023 13:00,FAILED,FALSE
Taxi,4808,BHA TAXI CORP,ACTIVE,TOYOTA,CAMRY,2022,FALSE,Globe Taxi Association Inc,Owner Manager,RETEST,2/27/2023 11:00,PASSED,FALSE
Taxi,2457,EMMY INC.,FORECLOSURE,VPG,MV-1,2014,TRUE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,2/27/2023 9:00,NO_SHOW,FALSE
Livery,9391,VISIONS TRANSPORTATION LLC,ACTIVE,LINCOLN,MKT,2016,FALSE,,,FIRST_PERIOD,2/27/2023 8:00,PASSED,FALSE
Taxi,2685,Z & M RIDE INC,ACTIVE,TOYOTA,PRIUS,2012,FALSE,Flash Cab Co,"Peeple Trans, LLC",RETEST,2/27/2023 13:00,PASSED,FALSE
Taxi,2939,MAYFAIR CAB LLC,ACTIVE,HYUNDAI,SONATA,2014,FALSE,NORTHSTAR AFFILIATION,Star North Management LLC,FIRST_PERIOD,3/31/2023 10:00,FAILED,FALSE
Taxi,5552,ZEEMAAN CORP.,ACTIVE,TOYOTA,CAMRY,2012,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,6/20/2023 10:00,PENDING,TRUE
Taxi,4988,REAL CAB CO,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,2/27/2023 9:00,FAILED,FALSE
Taxi,1525,FRIENDS 2022 INC,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Flash Cab Co,Owner Manager,RETEST,2/27/2023 11:00,PASSED,FALSE
Taxi,1827,SHIVA TAXI INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,4/13/2023 13:00,FAILED,FALSE
